# go2cs H10 dispatch plan -- MACHINE-READABLE. Generated by shardmap.py.
# Do not hand-edit: the driver recomputes #digest over the rows and refuses a mismatch.
#version	1
#basis	recon-basis.tsv (sha256 c3715b2332b5f1ef...)
#slice_cap_seconds	2400
#cooldown_seconds	600
#rows	424
#unscheduled	14
#projection	LOWER_BOUND	14 roster row(s) carry no measured t_r and are NOT in this plan
#digest	005aeab497fd35e8610a968117e1836dc68c753ba822e16eb1cee5845c77d39d
W	worker	slice	seq	package	t_r_i9_seconds	reserved
4	i9-13900K (sweeper)	1	16	math/big	58	0
4	i9-13900K (sweeper)	1	17	crypto/ecdsa	57	0
4	i9-13900K (sweeper)	1	18	net/http/httptest	55	0
4	i9-13900K (sweeper)	1	19	net/rpc	53	0
4	i9-13900K (sweeper)	1	20	math/rand/v2	52	0
4	i9-13900K (sweeper)	1	21	crypto/dsa	51	1
4	i9-13900K (sweeper)	1	22	expvar	51	0
4	i9-13900K (sweeper)	1	23	net/smtp	48	0
4	i9-13900K (sweeper)	1	24	crypto/internal/fips140/edwards25519/field	47	0
4	i9-13900K (sweeper)	1	25	net/rpc/jsonrpc	47	0
4	i9-13900K (sweeper)	1	26	archive/zip	44	1
4	i9-13900K (sweeper)	1	27	go/doc	44	0
4	i9-13900K (sweeper)	1	28	crypto/des	32	0
4	i9-13900K (sweeper)	2	1	strings	43	0
4	i9-13900K (sweeper)	2	2	go/ast	42	0
4	i9-13900K (sweeper)	2	3	image/gif	40	0
4	i9-13900K (sweeper)	2	4	crypto/internal/sysrand	38	0
4	i9-13900K (sweeper)	2	5	debug/pe	37	0
4	i9-13900K (sweeper)	2	6	flag	36	0
4	i9-13900K (sweeper)	2	7	internal/reflectlite	36	0
4	i9-13900K (sweeper)	2	8	image/draw	35	0
4	i9-13900K (sweeper)	2	9	crypto/internal/fips140/rsa	34	0
4	i9-13900K (sweeper)	2	10	crypto/md5	34	0
4	i9-13900K (sweeper)	2	11	go/internal/srcimporter	34	0
4	i9-13900K (sweeper)	2	12	log/slog/internal/benchmarks	33	0
4	i9-13900K (sweeper)	2	13	mime/quotedprintable	33	0
4	i9-13900K (sweeper)	2	14	internal/xcoff	32	0
4	i9-13900K (sweeper)	2	15	os/signal	32	0
4	i9-13900K (sweeper)	2	16	crypto/hmac	31	0
4	i9-13900K (sweeper)	2	17	log/slog/internal/buffer	31	0
4	i9-13900K (sweeper)	2	18	math/cmplx	31	0
4	i9-13900K (sweeper)	2	19	crypto/internal/fips140/ecdh	30	0
4	i9-13900K (sweeper)	2	20	debug/dwarf	30	0
4	i9-13900K (sweeper)	2	21	go/internal/gccgoimporter	30	0
4	i9-13900K (sweeper)	2	22	runtime/metrics	30	0
4	i9-13900K (sweeper)	2	23	bytes	29	0
4	i9-13900K (sweeper)	2	24	crypto/internal/hpke	29	0
4	i9-13900K (sweeper)	2	25	internal/sync	29	0
4	i9-13900K (sweeper)	2	26	net/textproto	29	0
4	i9-13900K (sweeper)	2	27	path/filepath	29	0
4	i9-13900K (sweeper)	2	28	encoding/base32	28	0
4	i9-13900K (sweeper)	2	29	go/ast/internal/tests	28	0
4	i9-13900K (sweeper)	2	30	internal/coverage/slicereader	28	0
4	i9-13900K (sweeper)	2	31	io	28	0
4	i9-13900K (sweeper)	2	32	crypto/elliptic	27	0
4	i9-13900K (sweeper)	2	33	debug/macho	27	0
4	i9-13900K (sweeper)	2	34	hash/adler32	27	0
4	i9-13900K (sweeper)	2	35	internal/coverage/test	27	0
4	i9-13900K (sweeper)	2	36	internal/dag	27	0
4	i9-13900K (sweeper)	2	37	testing/slogtest	27	0
4	i9-13900K (sweeper)	2	38	container/list	26	0
4	i9-13900K (sweeper)	2	39	crypto/sha1	26	0
4	i9-13900K (sweeper)	2	40	hash/crc32	26	0
4	i9-13900K (sweeper)	2	41	hash/fnv	26	0
4	i9-13900K (sweeper)	2	42	iter	26	0
4	i9-13900K (sweeper)	2	43	bufio	25	0
4	i9-13900K (sweeper)	2	44	crypto/sha256	25	0
4	i9-13900K (sweeper)	2	45	debug/gosym	25	0
4	i9-13900K (sweeper)	2	46	image/jpeg	25	0
4	i9-13900K (sweeper)	2	47	internal/abi	25	0
4	i9-13900K (sweeper)	2	48	slices	25	0
4	i9-13900K (sweeper)	2	49	unicode	25	0
4	i9-13900K (sweeper)	2	50	container/ring	24	0
4	i9-13900K (sweeper)	2	51	os/exec/internal/fdtest	24	0
4	i9-13900K (sweeper)	2	52	compress/lzw	23	0
4	i9-13900K (sweeper)	2	53	encoding/pem	23	0
4	i9-13900K (sweeper)	2	54	go/doc/comment	23	1
4	i9-13900K (sweeper)	2	55	hash/maphash	23	1
4	i9-13900K (sweeper)	2	56	mime	23	0
4	i9-13900K (sweeper)	2	57	cmp	22	0
4	i9-13900K (sweeper)	2	58	container/heap	22	0
4	i9-13900K (sweeper)	2	59	internal/cpu	22	0
4	i9-13900K (sweeper)	2	60	internal/runtime/sys	22	0
4	i9-13900K (sweeper)	2	61	net/http/internal	22	0
4	i9-13900K (sweeper)	2	62	errors	21	0
4	i9-13900K (sweeper)	2	63	html	21	0
4	i9-13900K (sweeper)	2	64	log	21	0
4	i9-13900K (sweeper)	2	65	runtime/internal/wasitest	21	0
4	i9-13900K (sweeper)	2	66	weak	21	0
4	i9-13900K (sweeper)	2	67	encoding/base64	20	0
4	i9-13900K (sweeper)	2	68	internal/itoa	20	0
4	i9-13900K (sweeper)	2	69	path	20	0
4	i9-13900K (sweeper)	2	70	unique	20	0
4	i9-13900K (sweeper)	2	71	internal/gover	19	0
4	i9-13900K (sweeper)	2	72	maps	19	0
4	i9-13900K (sweeper)	2	73	internal/syscall/windows/registry	15	0
4	i9-13900K (sweeper)	2	74	crypto/internal/fips140/mlkem	13	1
4	i9-13900K (sweeper)	2	75	crypto/mlkem	13	1
4	i9-13900K (sweeper)	2	76	time	2	1
4	6850U R (R-LAPTOP)	1	1	go/internal/gcimporter	337	0
4	6850U R (R-LAPTOP)	1	2	os/exec	223	0
4	6850U R (R-LAPTOP)	1	3	log/slog	119	0
4	6850U R (R-LAPTOP)	1	4	net/http/cookiejar	94	0
4	6850U R (R-LAPTOP)	1	5	os	78	0
4	6850U R (R-LAPTOP)	1	6	net/http/httputil	62	0
4	6850U R (R-LAPTOP)	1	7	encoding/gob	56	0
4	6850U R (R-LAPTOP)	1	8	crypto/subtle	51	0
4	6850U R (R-LAPTOP)	1	9	crypto/aes	47	0
4	6850U R (R-LAPTOP)	2	1	internal/fuzz	45	0
4	6850U R (R-LAPTOP)	2	2	debug/elf	42	0
4	6850U R (R-LAPTOP)	2	3	go/build	39	0
4	6850U R (R-LAPTOP)	2	4	internal/poll	36	0
4	6850U R (R-LAPTOP)	2	5	net/http/httptrace	35	0
4	6850U R (R-LAPTOP)	2	6	crypto/sha512	34	0
4	6850U R (R-LAPTOP)	2	7	text/template/parse	33	0
4	6850U R (R-LAPTOP)	2	8	io/fs	32	0
4	6850U R (R-LAPTOP)	2	9	internal/chacha8rand	31	0
4	6850U R (R-LAPTOP)	2	10	regexp/syntax	31	0
4	6850U R (R-LAPTOP)	2	11	go/scanner	30	0
4	6850U R (R-LAPTOP)	2	12	crypto/internal/fips140/aes	29	0
4	6850U R (R-LAPTOP)	2	13	io/ioutil	29	0
4	6850U R (R-LAPTOP)	2	14	text/scanner	29	0
4	6850U R (R-LAPTOP)	2	15	internal/buildcfg	28	0
4	6850U R (R-LAPTOP)	2	16	crypto/internal/fips140/nistec	27	0
4	6850U R (R-LAPTOP)	2	17	internal/coverage/cmerge	27	0
4	6850U R (R-LAPTOP)	2	18	sort	27	0
4	6850U R (R-LAPTOP)	2	19	crypto/internal/fips140/bigmod	26	0
4	6850U R (R-LAPTOP)	2	20	internal/runtime/math	26	0
4	6850U R (R-LAPTOP)	2	21	crypto/internal/fips140/ecdsa	25	0
4	6850U R (R-LAPTOP)	2	22	go/version	25	0
4	6850U R (R-LAPTOP)	2	23	internal/profile	25	0
4	6850U R (R-LAPTOP)	2	24	encoding/asn1	24	0
4	6850U R (R-LAPTOP)	2	25	crypto/internal/boring	23	0
4	6850U R (R-LAPTOP)	2	26	plugin	23	0
4	6850U R (R-LAPTOP)	2	27	internal/coverage/pods	22	0
4	6850U R (R-LAPTOP)	2	28	testing/fstest	22	0
4	6850U R (R-LAPTOP)	2	29	internal/coverage/cformat	21	0
4	6850U R (R-LAPTOP)	2	30	unicode/utf16	21	0
4	6850U R (R-LAPTOP)	2	31	internal/coverage/slicewriter	20	0
4	6850U R (R-LAPTOP)	2	32	encoding/ascii85	19	0
4	6850U R (R-LAPTOP)	2	33	internal/synctest	18	0
4	i7-5820K (coordinator)	1	1	crypto/internal/fips140/edwards25519	325	0
4	i7-5820K (coordinator)	1	2	internal/godebugs	140	0
4	i7-5820K (coordinator)	1	3	database/sql	117	0
4	i7-5820K (coordinator)	1	4	internal/types/errors	84	0
4	i7-5820K (coordinator)	1	5	compress/flate	60	0
4	i7-5820K (coordinator)	1	6	crypto	53	0
4	i7-5820K (coordinator)	1	7	html/template	50	0
4	i7-5820K (coordinator)	2	1	crypto/rand	46	0
4	i7-5820K (coordinator)	2	2	compress/gzip	41	0
4	i7-5820K (coordinator)	2	3	image/png	37	0
4	i7-5820K (coordinator)	2	4	internal/platform	35	0
4	i7-5820K (coordinator)	2	5	go/printer	34	0
4	i7-5820K (coordinator)	2	6	crypto/hkdf	32	0
4	i7-5820K (coordinator)	2	7	compress/zlib	31	0
4	i7-5820K (coordinator)	2	8	crypto/internal/boring/bcache	30	0
4	i7-5820K (coordinator)	2	9	internal/trace/internal/oldtrace	30	0
4	i7-5820K (coordinator)	2	10	go/constant	29	0
4	i7-5820K (coordinator)	2	11	sync	29	0
4	i7-5820K (coordinator)	2	12	internal/fmtsort	28	0
4	i7-5820K (coordinator)	2	13	encoding/csv	27	0
4	i7-5820K (coordinator)	2	14	internal/saferio	27	0
4	i7-5820K (coordinator)	2	15	encoding/hex	26	0
4	i7-5820K (coordinator)	2	16	internal/testenv	26	0
4	i7-5820K (coordinator)	2	17	crypto/sha3	25	0
4	i7-5820K (coordinator)	2	18	internal/pkgbits	25	0
4	i7-5820K (coordinator)	2	19	go/token	24	0
4	i7-5820K (coordinator)	2	20	internal/diff	23	0
4	i7-5820K (coordinator)	2	21	crypto/internal/fips140deps	22	0
4	i7-5820K (coordinator)	2	22	testing/quick	22	0
4	i7-5820K (coordinator)	2	23	math/bits	21	0
4	i7-5820K (coordinator)	2	24	go/build/constraint	20	0
4	i7-5820K (coordinator)	2	25	text/tabwriter	20	0
4	i7-5820K (coordinator)	2	26	internal/syscall/windows	15	0
4	6650U G (G-LAPTOP)	1	1	regexp	384	0
4	6650U G (G-LAPTOP)	1	2	compress/bzip2	129	0
4	6650U G (G-LAPTOP)	1	3	internal/runtime/maps	100	0
4	6650U G (G-LAPTOP)	1	4	text/template	63	0
4	6650U G (G-LAPTOP)	1	5	net/http/fcgi	58	0
4	6650U G (G-LAPTOP)	1	6	encoding/xml	53	0
4	6650U G (G-LAPTOP)	1	7	debug/buildinfo	48	0
4	6650U G (G-LAPTOP)	2	1	crypto/ecdh	44	0
4	6650U G (G-LAPTOP)	2	2	context	41	0
4	6650U G (G-LAPTOP)	2	3	net/netip	37	0
4	6650U G (G-LAPTOP)	2	4	crypto/ed25519	34	0
4	6650U G (G-LAPTOP)	2	5	strconv	34	0
4	6650U G (G-LAPTOP)	2	6	image	32	0
4	6650U G (G-LAPTOP)	2	7	crypto/rc4	31	0
4	6650U G (G-LAPTOP)	2	8	crypto/pbkdf2	30	0
4	6650U G (G-LAPTOP)	2	9	runtime/debug	30	0
